09-06 02:38:06.337  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 1:1 112 w334
09-06 02:38:06.338  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 1:2 112 w334
09-06 02:38:06.338  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 1:3 112 w334
09-06 02:38:06.339  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 1:4 112 w334
09-06 02:38:06.339  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 1:5 112 w334
09-06 02:38:06.340  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 1:6 112 w334
09-06 02:38:06.340  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 1:7 179 w334
09-06 02:38:28.106  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:1 112 w334
09-06 02:38:28.107  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:2 150 w334
09-06 02:38:28.108  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:3 188 w334
09-06 02:38:28.108  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:4 188 w334
09-06 02:38:28.108  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:5 150 w334
09-06 02:38:28.108  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:6 188 w334
09-06 02:38:28.108  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:7 188 w334
09-06 02:38:28.109  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:8 188 w334
09-06 02:38:28.109  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:9 188 w334
09-06 02:38:28.109  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:10 188 w334
09-06 02:38:28.702  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:11 188 w334
09-06 02:38:28.702  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:12 150 w334
09-06 02:38:28.702  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:13 226 w334
09-06 02:38:28.702  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:14 226 w334
09-06 02:38:28.703  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:15 150 w334
09-06 02:38:28.703  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:16 188 w334
09-06 02:38:28.703  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:17 226 w334
09-06 02:38:28.703  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:18 140 w334
09-06 02:38:28.703  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:19 265 w334
09-06 02:38:28.703  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:20 265 w334
09-06 02:38:28.898  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:21 188 w334
09-06 02:38:28.898  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:22 265 w334
09-06 02:38:28.898  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:23 226 w334
09-06 02:38:28.898  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:24 188 w334
09-06 02:38:28.898  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:25 341 w334
09-06 02:38:28.898  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:26 379 w334
