root	status	buckets	gloss
$Am	no_gloss	-	
$An	kept	-	matter, affair, concern, business; circumstances, state of affaire, case; nature, character, quality, kind
$Eb	kept	-	people, folk; nation; tribe
$El	no_gloss	-	
$Er	kept	-	know, have knowledge, be cognizant; to come to know, realize, notice; to perceive, feel, sense, be conscious, be aware
$HH	kept	-	stinginess, avarice, niggardliness; greed, covetousness; scarcity, paucity, sparsity
$Hm	kept	-	fat, suet, grease; axle grease, lubricant; tallow, sebum
$Hn	kept	-	loading, freighting; shipment, freightage; cargo, lading, load, freight
$TA	not_in_hanswehr	-	
$TT	kept	-	that which is excessive or exceeds the proper bounds, excess; inroad, encroachment, infringement
$Tn	kept	-	fasten, attach, tie, bind
$Tr	kept	-	halve, divide into two (equal) parts, bisect, cut through; to out off, sever
$bh	no_gloss	-	
$dd	kept	-	tug of war
$fE	kept	-	either part of a pair; even number
$fh	no_gloss	-	
$fq	kept	-	evening glow, twilight, dusk
$fw	no_gloss	-	
$fy	kept	-	cure, heal, make well, restore to health
$gf	kept	-	infatuate, enamor, fill with ardent passion
$gl	kept	-	occupy, busy; to preoccupy, keep busy, give trouble; to distract, divert, alienate.
$hb	kept	-	gray color, gray
$hd	kept	-	witness, be witness; to experience personally, see with one’s own eyes; to be present, attend
$hq	kept	-	bray (donkey)
$hr	kept	-	new moon; month
$hw	kept	-	desire, wish, covet, crave, long
$jr	kept	-	trees; shrubs, bushes
$kk	kept	-	on credit
$kl	kept	-	similarity, resemblance, likeness; outward appearance, figure, form, shape, build; form of perception, perceptual form
$kr	kept	-	thank, be thankful, grateful; to praise, laud, extol
$ks	kept	-	malicious, spiteful, querulous, quarrelsome, peevish, petulant, ill-tempered, morose, surly, sullen, sulky, grumpy, unfriendly
$kw	kept	-	complain, make a complaint; to raise or lodge a complaint; to suffer
$ml	kept	-	uniting, gathering, concentration; unity. union
$ms	kept	-	sun
$mt	kept	-	rejoice at the misfortune of s.o., gloat over s.o.’s mishaps, savor s.o.’s bad luck
$mx	kept	-	be high, tall, lofty, tower up, loom (mountain, building); to disdain, turn up one’s nose
$mz	not_in_hanswehr	-	
$nA	kept	-	hate
$qq	kept	-	split, cleave, part, tear, rend, rip; to break; to plow, till, break up
$qw	kept	-	make unhappy, miserable, wretched, distress
$r*m	no_gloss	-	
$rE	kept	-	go, enter; to begin, start, commence; to point a weapon at s.o.
$rH	kept	-	cut in slices, slice, cut up; to cut open, rip open; to bare, expose, make clearly visible or discernible, to expound
$rT	kept	-	incision (in the skin); long cut, rip, clash, slit; condition, precondition
$rb	kept	-	drink; to sip
$rd	kept	-	bolt (horse), to run away, flee, take to flight, take to one’s heels, break loose, escape; to roam, rove, wander, stray, go astray
$rk	kept	-	share, participate, be or become partner, participant, associate
$rq	kept	-	sunrise, east; the Orient, the East
$rr	kept	-	sparks
$ry	kept	-	sell, vend; to buy, purchase; to bring upon o.s., to ask for
$tt	kept	-	dispersed, separate(d), scattered, dissolved
$tw	kept	-	pass the winter, to winter; to hibernate
$wZ	not_in_hanswehr	-	
$wb	kept	-	mixture; tarnishing, sullying, roiling, rendering turbid; impairment, blemish, flaw
$wk	kept	-	thorns, spikes, pricks, prickles, spines; fishbone; forks
$wr	no_gloss	-	
$wy	kept	-	broiled, grilled, rosted
$xS	kept	-	rise, tower up; to become high, lofty; to rise, ascend (star)
$yA	not_in_hanswehr	-	
$yE	not_in_hanswehr	-	
$yb	kept	-	grayness of the hair, gray or white hair; old age
$yd	kept	-	plaster (of a wall); plaster of Paris; mortar
$yx	kept	-	an elderly, venerable gentleman; old man; elder
*Ab	no_gloss	-	
*Am	not_in_hanswehr	-	
*En	no_gloss	-	
*b*b	kept	-	set into a swinging motion, swing, dangle
*bH	kept	-	kill (by slitting the throat); to slaughter, butcher; to massacre
*bb	kept	-	drive away, chase away; to defend
*hb	kept	-	go; to betake o.s., travel; to go away, leave, depart
*hl	kept	-	forget, overlook, omit, neglect, fail to heed
*kr	kept	-	remember, bear in mind, think; to keep in mind; to recall, recollect
*kw	kept	-	blaze, flare up (fire); to exude a strong odor
*ll	kept	-	lowness, lowliness, insignificance; ignominy, disgrace, shame, degradation, humiliation; humility, humbleness, meekness, submissiveness
*mm	kept	-	censure, dispraise, derogation, disparagement
*nb	kept	-	offense, sin, crime, misdeed
*qn	kept	-	chin
*rA	not_in_hanswehr	-	
*rE	kept	-	power, ability, capability
*rr	kept	-	strewing, scattering, sprinkling; (coll.) tiny particles, atoms, specks, motes
*rw	kept	-	disperse, scatter; to carry off, blow away; to winnow, fan
*wd	kept	-	scatter, drive away, chase away; to remove; to defend, protect
*wq	kept	-	taste, sample; to try, try out, teat; to get a taste, experience, undergo, suffer, go through s.th.
*xr	kept	-	keep, preserve, store away, put away; to save, lay by
*yE	kept	-	spread, get about, circulate, be spread, be disseminated, be or become widespread; to leak out, become public, become generally known
A$r	kept	-	liveliness, high spirits, exuberance; wildness; insolence, impertinence
A*n	kept	-	then, therefore, in that case, hence, consequently
A*y	kept	-	suffer damage, be harmed
AHd	kept	-	sharper, keener; more vehement, more violent
ASl	kept	-	be or become firmly rooted; to be firmly established; to be of noble origin
ASr	kept	-	covenant, compact, contract; load, encumbrance, burden; sin
Abb	kept	-	reserved, standoffish; unwilling, reluctant, grudging
Abd	kept	-	stay, linger
Abl	kept	-	camel
Abq	kept	-	escape, run away (a slave from his master)
Abw	kept	-	father (also eccl.): ancestor, forefather
Aby	kept	-	refuse, decline; to turn down, reject, scorn, disdain: to deny
Add	kept	-	befall, afflict
Ady	no_gloss	-	
Aff	kept	-	displeasure; grumbling, grumble
Afk	kept	-	lie, tell a lie
Afl	kept	-	go down, set (stars)
Afq	kept	-	horizon; range of vision, field of vision; pl. distant lands, faraway countries, remote regions
Ahl	kept	-	relatives, folks, family; kin, kinfolk; wife
Ajj	kept	-	burn, blaze, flame (fire)
Ajl	kept	-	appointed time, date, deadline; instant of death; respite, delay
Ajr	kept	-	wages, pay, honorarium, recompense, emolument, remuneration; price, rate, fee
Akl	kept	-	eat; to eat up, consume, swallow, devour, destroy; to eat, gnaw, eat away, corrode, erode
Alf	kept	-	thousand; millennium
Alh	kept	-	god, deity, godhead
All	kept	-	pact, covenant; blood relationship, consanguinity
Alm	kept	-	pain, ache, suffering, agony
Alt	not_in_hanswehr	-	
Alw	kept	-	neglect or fail to do, not to do, desist, refrain
