# source: vkorane.ru (https://vkorane.ru/), fetched 2026-09-21
#
# Russian surah names and meanings, as the site's own index page lists them:
# "Meaning (Name)" per surah, all 114 on one page, so this cost one request.
#
# Taken VERBATIM, defects included -- the corrections live in
# scraper/ru_surah_names.py:_OVERRIDES, where each one names what is wrong.
# Two things are wrong at source, and both are invisible to a reader:
#
#   31  the name is written "Луман", one letter short of Лукман, and its
#       meaning carries a LATIN "a" inside an otherwise Cyrillic word.
#   106 the name carries a LATIN "p" and "a" -- "Куpaйш" does not match
#       "Курайш" on any comparison, so the picker would never find it.
#
# The site also numbers al-Alaq 95, which is at-Tin's number; its list is in
# the right ORDER, so the id below is the row's position, not the site's
# printed number. Every row was cross-checked against surahs.name_translation
# before this file was written.
#
# id	name	meaning
1	Аль-Фатиха	Открывающая книгу
2	Аль-Бакара	Корова
3	Аль Имран	Семейство Имрана
4	Ан-Ниса	Женщина
5	Аль-Маида	Трапеза
6	Аль-Анам	Скот
7	Аль-Араф	Ограды
8	Аль-Анфаль	Трофеи
9	Ат-Тауба	Покаяние
10	Йунус	Иона
11	Худ	Худ
12	Йусуф	Иосиф
13	Ар-Раад	Гром
14	Ибрахим	Авраам
15	Аль-Хиджр	Хиджр
16	Ан-Нахль	Пчёлы
17	Аль-Исра	Ночной перенос
18	Аль-Кахф	Пещера
19	Марьям	Мария
20	Та Ха	Та Ха
21	Аль-Анбия	Пророки
22	Аль-Хадж	Паломничество
23	Аль-Муминун	Верующие
24	Ан-Нур	Свет
25	Аль-Фуркан	Различение
26	Аш-Шуара	Поэты
27	Ан-Намль	Муравьи
28	Аль-Касас	Рассказ
29	Аль-Анкабут	Паук
30	Ар-Рум	Римляне
31	Луман	Лукмaн
32	Ас-Саджда	Земной поклон
33	Аль-Ахзаб	Союзники
34	Саба	Сава
35	Фатыр	Творец
36	Йа Син	Йа Син
37	Ас-Саффат	Выстроившиеся в ряды
38	Сад	Сад
39	Аз-Зумар	Толпы
40	Гафир	Прощающий
41	Фуссилат	Разъяснены
42	Аш-Шура	Совет
43	Аз-Зухруф	Украшения
44	Ад-Духан	Дым
45	Аль-Джасийа	Коленопреклоненные
46	Аль-Ахкаф	Барханы
47	Мухаммад	Мухаммад
48	Аль-Фатх	Победа
49	Аль-Худжурат	Комнаты
50	Каф	Каф
51	Аз-Зарийат	Рассеивающие
52	Ат-Тур	Гора
53	Ан-Наджм	Звезда
54	Аль-Камар	Месяц
55	Ар-Рахман	Милостивый
56	Аль-Вакиа	Событие
57	Аль-Хадид	Железо
58	Аль-Муджадала	Препирательство
59	Аль-Хашр	Сбор
60	Аль-Мумтахана	Испытуемая
61	Ас-Сафф	Ряды
62	Аль-Джумуа	Собрание
63	Аль-Мунафикун	Лицемеры
64	Ат-Тагабун	Взаимное обделение
65	Ат-Талак	Развод
66	Ат-Тахрим	Запрещение
67	Аль-Мульк	Власть
68	Аль-Калам	Письменная трость
69	Аль-Хакка	Неминуемое
70	Аль-Мааридж	Ступени
71	Нух	Ной
72	Аль-Джинн	Джинны
73	Аль-Муззаммил	Завернувшийся
74	Аль-Муддассир	Закутавшийся
75	Аль-Кийама	Воскресение
76	Аль-Инсан	Человек
77	Аль-Мурсалат	Посылаемые
78	Ан-Наба	Весть
79	Ан-Назиат	Исторгающие
80	Абаса	Нахмурился
81	Ат-Таквир	Скручивание
82	Аль-Инфитар	Раскалывание
83	Аль-Мутаффифин	Обвешивающие
84	Аль-Иншикак	Раскалывание
85	Аль-Бурудж	Созвездия зодиака
86	Ат-Тарик	Ночной путник
87	Аль-Аля	Всевышний
88	Аль-Гашийа	Покрывающее
89	Аль-Фаджр	Заря
90	Аль-Балад	Город
91	Аш-Шамс	Солнце
92	Аль-Лейл	Ночь
93	Ад-Духа	Утро
94	Аль-Инширах	Раскрытие
95	Ат-Тин	Смоковница
96	Аль-Алак	Сгусток крови
97	Аль-Кадр	Предопределение
98	Аль-Беййина	Ясное знамение
99	Аз-Залзала	Сотрясение
100	Аль-Адийат	Скачущие
101	Аль-Кариа	Великое бедствие
102	Ат-Такасур	Страсть к приумножению
103	Аль-Аср	Предвечернее время
104	Аль-Хумаза	Хулитель
105	Аль-Филь	Слон
106	Куpaйш	Курейшиты
107	Аль-Маун	Мелочь
108	Аль-Каусар	Изобилие
109	Аль-Кафирун	Неверующие
110	Ан-Наср	Помощь
111	Аль-Масад	Пальмовые волокна
112	Аль-Ихлас	Очищение веры
113	Аль-Фалак	Рассвет
114	Ан-Нас	Люди
